Date,bs_granger
2015-08-03,0.0074290948348950244
2015-08-10,0.006815602270832239
2015-09-28,0.0046322239600675216
2015-10-05,0.008126879205945632
2015-10-12,0.010601045845522255
2015-10-19,0.010127283340654287
2015-10-26,0.009351189097686757
2015-11-02,0.010911112630765935
2015-11-09,0.01134163298571969
2015-11-16,0.011797426049179749
2015-11-23,0.011568962994967152
2015-11-30,0.011294016215673231
2015-12-07,0.010529970368086212
2015-12-14,0.010027889207177535
2016-02-01,0.009533852741809947
2016-02-08,0.00894854297226199
2016-02-15,0.016476952048817457
2016-02-22,0.005795898253949091
2016-02-29,0.005881191856631426
2016-03-07,0.0052486839428159526
2016-03-14,0.005069389094050579
2016-03-21,0.005078138392000405
2016-03-28,0.005230215229127438
2016-04-04,0.005257871568508308
2016-04-11,0.005286817692294513
2016-05-30,0.0036499317737791422
2016-06-06,0.0020432150043480255
2016-06-13,0.0048595377758825055
2016-06-20,0.0021017150928534186
2016-06-27,0.005748830386564377
2016-07-04,0.005518878226058502
2016-07-11,0.005488483002541658
2016-07-18,0.003509771652726799
2016-07-25,0.003281349632449407
2016-08-01,0.0026694278449385695
2016-08-08,0.002669624306193987
2016-09-26,0.0021676012480858577
2016-10-03,0.0023339804297059174
2016-10-10,0.0021637842284537656
2016-10-17,0.0021637842284537656
2016-10-24,0.0021723902894377105
2016-10-31,0.002191009770856285
2016-11-07,0.0029907479115669593
2016-11-14,0.0037370528913977666
2016-11-21,0.0033953754872137437
2016-11-28,0.0032208313847444255
2016-12-05,0.005995337622706298
2017-01-23,0.003917547262628337
2017-01-30,0.0056156069977747565
2017-02-06,0.007238027970714758
2017-02-13,0.0064568127629391755
2017-02-20,0.005947833414607523
2017-02-27,0.005827664057103517
2017-03-06,0.00608886862737324
2017-03-13,0.006508546792575406
2017-03-20,0.006557332003012695
2017-03-27,0.0067602418986002395
2017-04-03,0.006901501370577834
2017-05-22,0.006569105339577385
2017-05-29,0.004830083172850375
2017-06-05,0.0017006020912949291
2017-06-12,0.0027387322282646713
2017-06-19,0.002428115768815624
2017-06-26,0.0023576184184078124
2017-07-03,0.0018961822235779417
2017-07-10,0.0024355863917219166
2017-07-17,0.0020793259048142586
2017-07-24,0.0010360418595788533
2017-07-31,0.0012430515327024564
2017-09-18,0.0009966312226841955
2017-09-25,0.0011267132406079915
2017-10-02,0.0009218375478829808
2017-10-09,0.0011720137584971548
2017-10-16,0.002011735587210824
2017-10-23,0.0017585250285410221
2017-10-30,0.002535640130679655
2017-11-06,0.001761122333752947
2017-11-13,0.0026171865029703143
2017-11-20,0.0026193978923220638
2017-11-27,0.002485080971828495
2018-01-15,0.0019312252363093297
2018-01-22,0.0023721079730826843
2018-01-29,0.0018630793776229385
2018-02-05,0.0026394735167977208
2018-02-12,0.0026333844585798207
2018-02-19,0.0021986530868455052
2018-02-26,0.002066019392345601
2018-03-05,0.001796608970583536
2018-03-12,0.001990588158842127
2018-03-19,0.0020744643137374746
2018-03-26,0.00225867453575764
2018-04-02,0.0024612716580916486
2018-05-21,0.0034154497976819596
2018-05-28,0.005078761900296014
2018-06-04,0.006150505642987995
2018-06-11,0.002886881531006318
2018-06-18,0.003395011447679305
2018-06-25,0.002073072449144371
2018-07-02,0.0023660872017086223
2018-07-09,0.0028840219070986137
2018-07-16,0.0024008293298469745
2018-07-23,0.003028545178086279
2018-07-30,0.0034021176262260876
2018-09-17,0.003771555708390715
2018-09-24,0.003921398898614653
2018-10-01,0.0035800606025547413
2018-10-08,0.0030112109697521374
2018-10-15,0.0036455727883746895
2018-10-22,0.0038121472933364186
2018-10-29,0.003132698915344266
2018-11-05,0.0034609347179255486
2018-11-12,0.0028231824025969528
2018-11-19,0.0018058725374389072
2018-11-26,0.002855701614346758
2019-01-14,0.003225190005449178
2019-01-21,0.0025154162641173004
2019-01-28,0.0021506456378202112
2019-02-04,0.001905794877047443
2019-02-11,0.0018749582987294595
2019-02-18,0.0014263953217971653
2019-02-25,0.0015334732277619907
2019-03-04,0.0021198526119044726
2019-03-11,0.002458836944403713
2019-03-18,0.0022613401132950323
2019-03-25,0.002427677743553818
2019-05-13,0.002741462710079818
2019-05-20,0.001768285018653899
2019-05-27,0.0025743890451926667
2019-06-03,0.001744922160181326
2019-06-10,0.001302996470030385
2019-06-17,0.0015644742963757488
2019-06-24,0.0013257859102831786
2019-07-01,0.0009989871130346131
2019-07-08,0.0011737905194319693
2019-07-15,0.0015530755193154493
2019-07-22,0.0016028704564890028
2019-09-09,0.0015572819559951366
2019-09-16,0.004725635885395302
2019-09-23,0.0016272133701800597
2019-09-30,0.0016396587598153619
2019-10-07,0.0008527401563342475
2019-10-14,0.001029941538791328
2019-10-21,0.0008898336397453081
2019-10-28,0.001072254301076925
2019-11-04,0.0011713922103970278
2019-11-11,0.0015506179978532063
2019-11-18,0.0008474018006354262
2020-01-06,0.0005788511068157399
2020-01-13,0.0019307650006746017
2020-01-20,0.0017043325243925992
2020-01-27,0.0019907993923327072
2020-02-03,0.0020110385883940957
2020-02-10,0.0016428936175688427
2020-02-17,0.0013224554233406372
2020-02-24,0.001718147270370347
2020-03-02,0.0029815032135219275
2020-03-09,0.005725554187437245
2020-03-16,0.005266065388496217
2020-05-04,0.005758897663521066
2020-05-11,0.0035980185648625705
2020-05-18,0.005862779396113346
2020-05-25,0.004963326505617128
2020-06-01,0.005025062654861075
2020-06-08,0.004746477817190032
2020-06-15,0.004205141487580488
2020-06-22,0.0055037976266857835
2020-06-29,0.004743528825557906
2020-07-06,0.005425091161681722
2020-07-13,0.00595021949378269
