Date,bs_granger
2015-10-12,0.008547235018764414
2015-10-19,0.00862181105513235
2015-10-26,0.00797490866871647
2015-11-02,0.008953076113242708
2015-11-09,0.009101034486182031
2015-11-16,0.007783811511459464
2015-11-23,0.007698816466566862
2015-11-30,0.009942580165271869
2015-12-07,0.008549746149406932
2015-12-14,0.007796385635838612
2016-02-01,0.006814298179349402
2016-02-08,0.005268836122451837
2016-02-15,0.012688509645756506
2016-02-22,0.004133149299060253
2016-02-29,0.005287759925806326
2016-03-07,0.004342506983913523
2016-03-14,0.004768681254209054
2016-03-21,0.004538797064238767
2016-03-28,0.005000287288239762
2016-04-04,0.005099801593184036
2016-04-11,0.00460039977643789
2016-05-30,0.004519060059490532
2016-06-06,0.004634848680345835
2016-06-13,0.004633561693493785
2016-06-20,0.00568830748543711
2016-06-27,0.007411545840230112
2016-07-04,0.0036042350657897993
2016-07-11,0.007617695988453228
2016-07-18,0.004652157708345867
2016-07-25,0.0032195140481714566
2016-08-01,0.0031867411892344457
2016-08-08,0.003446211453392366
2016-09-26,0.003213329573134097
2016-10-03,0.003114779353547347
2016-10-10,0.0024896869226301937
2016-10-17,0.002239598376050936
2016-10-24,0.0019067715099267742
2016-10-31,0.002152655547120701
2016-11-07,0.002548097824382508
2016-11-14,0.0025756960374021466
2016-11-21,0.0021197763571048143
2016-11-28,0.0015809066560793746
2016-12-05,0.0018163294227869318
2017-01-23,0.00211717702230637
2017-01-30,0.0017681505922640174
2017-02-06,0.0021681145915841975
2017-02-13,0.004675349821121775
2017-02-20,0.0019486990021264205
2017-02-27,0.0030328227417784595
2017-03-06,0.0033879057654205556
2017-03-13,0.003212163729113713
2017-03-20,0.003302457921658941
2017-03-27,0.0034604649879330586
2017-04-03,0.0033401765850222306
2017-05-22,0.0029977623730571947
2017-05-29,0.0030723087745056963
2017-06-05,0.003645438027434458
2017-06-12,0.004792369249829197
2017-06-19,0.004206967958726423
2017-06-26,0.0036055514441987223
2017-07-03,0.0007275275915722435
2017-07-10,0.0022074378782447487
2017-07-17,0.0015829616241140054
2017-07-24,0.001320365710171933
2017-07-31,0.0012568522384048845
2017-09-18,0.001203563195522826
2017-09-25,0.001114758874122025
2017-10-02,0.001088845028868312
2017-10-09,0.0007127231776617761
2017-10-16,0.0007482150395270089
2017-10-23,0.00110426321200626
2017-10-30,0.0011424885295541307
2017-11-06,0.0013876604447004923
2017-11-13,0.0020619252463506383
2017-11-20,0.0013418570686356927
2017-11-27,0.0016265068741000534
2018-01-15,0.0015662005937417582
2018-01-22,0.0020609677834643137
2018-01-29,0.002422948403523863
2018-02-05,0.0024296313823929136
2018-02-12,0.001992984927496975
2018-02-19,0.0017442355556423431
2018-02-26,0.0017925609198821888
2018-03-05,0.0019002184006641973
2018-03-12,0.002125084620060305
2018-03-19,0.002358047681999651
2018-03-26,0.0023344474723462423
2018-04-02,0.002413106037140679
2018-05-21,0.0022739966815062975
2018-05-28,0.0025554022452256497
2018-06-04,0.0027858295673665835
2018-06-11,0.0018376593797532657
2018-06-18,0.0020456078090799966
2018-06-25,0.0021710022130082556
2018-07-02,0.002145431940125512
2018-07-09,0.0019555409389903824
2018-07-16,0.0014130366948894605
2018-07-23,0.0017412119901514124
2018-07-30,0.0018433438936080204
2018-09-17,0.0018095253692044459
2018-09-24,0.002412943385485286
2018-10-01,0.0023087943026402114
2018-10-08,0.002586821465344948
2018-10-15,0.0026682311290098116
2018-10-22,0.0030124065865276663
2018-10-29,0.0030349781311199597
2018-11-05,0.00268897008600606
2018-11-12,0.0018107301182465536
2018-11-19,0.0017738903292904425
2018-11-26,0.002313304568727568
2019-01-14,0.003286436981250042
2019-01-21,0.00311865532993692
2019-01-28,0.002523980441434771
2019-02-04,0.0023585562540762435
2019-02-11,0.0017990498276508218
2019-02-18,0.0012598758736392295
2019-02-25,0.0011158807677371808
2019-03-04,0.001522247757597995
2019-03-11,0.0016600076756804942
2019-03-18,0.002042861135079383
2019-03-25,0.002329085345588861
2019-05-13,0.0019507828496605774
2019-05-20,0.0019016595416343491
2019-05-27,0.0017610096922775112
2019-06-03,0.0020244998829566084
2019-06-10,0.0021557092536669065
2019-06-17,0.0012232493063391214
2019-06-24,0.001430727072777523
2019-07-01,0.0012689209325090058
2019-07-08,0.00115760574391931
2019-07-15,0.000997833822635157
2019-07-22,0.0012642431718275775
2019-09-09,0.0019389172025942624
2019-09-16,0.002882771622423938
2019-09-23,0.002178923560414055
2019-09-30,0.002532709393602477
2019-10-07,0.0021457947317031173
2019-10-14,0.0018524973635710021
2019-10-21,0.0021340772116494023
2019-10-28,0.0018498194684054825
2019-11-04,0.000799143971834189
2019-11-11,0.001008546518736105
2019-11-18,0.0006303382643909246
2020-01-06,0.0006418217847049542
2020-01-13,0.0006613311510071939
2020-01-20,0.00087347739460534
2020-01-27,0.0006249182467434673
2020-02-03,0.0006150894887655403
2020-02-10,0.0015937239478103164
2020-02-17,0.0012666647423718966
2020-02-24,0.001516422280091177
2020-03-02,0.0019149296879005509
2020-03-09,0.004273238082756928
2020-03-16,0.005816233390197316
2020-05-04,0.005292327796738437
2020-05-11,0.004364392128950918
2020-05-18,0.005581029775564596
2020-05-25,0.006788615943732956
2020-06-01,0.008010276814801702
2020-06-08,0.008295997406835436
2020-06-15,0.008079951032890043
2020-06-22,0.008383679967295343
2020-06-29,0.007571682948503844
2020-07-06,0.007557198253304529
2020-07-13,0.007148891638592946
2020-07-20,0.007429085207609117
2020-09-07,0.0072677737401996385
2020-09-14,0.008266197395890924
2020-09-21,0.007578836161941606
