,Date,ALLY,AXP,BAC,BCS,BK,BMO,C,CFG,COF,DB,DFS,FITB,GS,HBAN,HSBC,JPM,KEY,MS,MTB,MUFG,NTRS,Open,PNC,RF,SAN,SCHW,STT,TD,TFC,UBS,cor,cor_lw,eig,banks_index,spread,index,spread_ch
60,2000-04-03,,0.04406182622038135,0.05840241576626748,0.028408881282889542,0.047743874072435855,0.035587188334296194,0.03549067943875617,,0.022164015111030944,0.08174912844574656,,0.06547605423094227,0.002374966795511968,0.02234583370625609,-0.05435893326890151,0.06093158268140231,0.026315412538177485,0.030166360444598084,0.043673080804764064,,0.04162816471337405,-0.01607668609567292,0.0513172554550958,0.07397261844305936,-0.0058143203105895935,-0.0010961327208022231,0.09548386598721681,-0.025760865882754835,0.044543575486482245,,0.39609451272790763,0.3726823578943994,0.47536357621431174,-0.007398764349051845,1.48,-0.018907209106212464,0.0962962962962961
65,2000-04-10,,0.02966276279381863,0.009557802397103687,-0.009685545227969494,0.054095825318364765,0.005328530920261532,0.055085518202777406,,0.018519151460261618,0.0,,0.03625351784647002,0.04451209469827866,0.01769952594585167,-0.010869221776359406,0.020261002281615648,-0.00689645326491406,0.049519574179834436,-0.015537763051712061,,0.0018671703039314647,0.023468257546105153,0.02679794834185656,0.005697836567288839,-0.023391488852029907,0.012471945628169445,0.04000055460128826,0.0025769852378012548,0.011210330023914361,,0.39567088842856873,0.3656876686608665,0.4689015275594235,-0.01946784053930295,1.53,0.011857905518790623,0.03378378378378377
70,2000-04-17,,0.0,0.007509006562968157,-0.027122517660059242,0.00316937251118099,-0.0035149463478768572,0.02155168936134655,,0.0029151199947821116,-0.03577513234834795,,0.04867705587634075,0.057401881384676834,-0.03680968480117908,0.01576562880596244,-0.0031696193109675974,0.02545483263815007,0.030841040463402747,-0.031180392681631086,,0.017297036478962413,0.055596076141722794,-0.005587046476103641,-0.003028236917174576,0.03726716642951522,0.0370368061006765,0.035150893688265406,-0.002584157688819033,0.021582566806137127,,0.43326379432586415,0.3858652107848819,0.4832200055037464,-0.039644780366127175,1.55,-0.10537799292042893,0.013071895424836555
74,2000-04-24,,0.04938799138120298,0.03909283984386325,0.01463380480196208,0.029806650038105786,-0.010326746848212776,0.009183598877436472,,-0.003962234829999467,0.010949138499330546,,0.014980513131800377,-0.021815516886564357,0.006514372833266169,0.002183733313469771,-0.033144892697148154,0.031468456198612715,0.035000113309539005,0.0029491390328033606,,-0.012404483605408467,-0.0025465659383656636,0.038297848630754805,0.026627555149739468,0.006097517595998525,0.0028410390277318065,0.03778456761943394,-0.010525897498048553,0.018912375332298836,,0.4442675302305584,0.4063686993081822,0.5111253832539863,0.03701089158062665,1.54,0.057483618196444874,-0.006451612903225823
79,2000-05-01,,0.012542046796446105,0.020408510798644697,0.0,0.03500752157851661,-0.010221786947251621,0.022246257961355154,,0.028571024228243536,0.009242326395582756,,0.00098996160512832,0.04021436427353198,0.0,0.0032788483833767756,0.02253009915014159,0.02027028452795765,0.039088112259231034,-0.002845563649060856,,0.020467517093699428,0.033857826335228935,0.007163636010464103,0.009174043102148755,-0.011493789353255068,0.025280656336014173,0.04516170773801664,0.013512943186745563,0.011737522678895163,,0.4622652895186478,0.4350916868461713,0.5400169194624337,-0.024772605393929004,1.62,0.012470906465691156,0.051948051948051965
84,2000-05-08,,0.03708423802861094,0.013140316542659347,-0.019801711929890442,0.039097866560505734,0.0017330876938173034,0.003148731188468812,,0.05714219168811918,0.0,,0.030655575973197458,-0.02851206685935148,0.0107522876066104,-0.012373039786761186,-0.002597602626892681,0.02112658090242836,0.00966616279443544,-0.026286155118578014,,0.04648850179664188,0.0010068268823084647,0.03598228185221575,0.06188949010161493,-0.0062896675549344305,-0.015399497135355156,0.03013907276579819,0.0,0.014457985732463818,,0.4649156773124767,0.43497449051965525,0.5594348510009538,-0.021008184502527172,1.62,-0.01363235962897913,0.0
89,2000-05-15,,0.038557384790726124,0.0418011463551613,-0.031110927035840952,0.03905083317510982,0.04159380462777773,0.044652213030755616,,0.02507142589524225,0.010380601719312654,,0.011343000345816812,0.039164538009947014,0.008151872837458995,0.007838108645293662,0.041884630573099546,0.013158058487513058,0.06708699200109058,0.009379940041955415,,0.0369705641311775,-0.02777989666516678,0.0,0.009091532679700753,0.0,0.034277541875104234,0.05275130916223958,0.036175544935904025,0.013667405376073027,,0.43572462983566146,0.42012958518958377,0.5512643105851224,0.05392296014079223,1.66,-0.008145888265314594,0.024691358024691246
94,2000-05-22,,-0.013664600930427873,0.01005010241522064,0.011718112563110061,0.041193292281643146,-0.02243598502066757,0.0061536462976954365,,-0.002840421046513386,0.008650447896632496,,0.02664159138383937,-0.03030353631025684,0.03610110756612128,0.017201749112260023,-0.004310568858413966,0.01993325817971492,-0.02790272155157536,0.02451595690938735,,0.02365182490633977,0.006244590231917813,0.0368796527671309,0.04142026996949033,-0.020270202628360434,0.0014916638223989587,0.025414355828684343,-0.017766219939356898,0.030516549031120777,-0.0038185961865229157,0.4163472992618068,0.4285997780348597,0.5434121251080345,0.0023076696359447535,1.68,-0.009859538727876371,0.012048192771084265
103,2000-06-05,,-0.015487079472377485,-0.028688896669191055,-0.00346341444958731,-0.0359897394392481,-0.01754339898032442,-0.002814840820034248,,-0.017073248272433172,-0.012194979576683473,,-0.020961371265747264,-0.027338084481402514,-0.04281317585702071,0.011853153158444485,-0.01626655863902471,-0.0327873284768565,-0.011286182821439783,-0.010526331690324908,,-0.0017843464485453042,-0.02665703648039286,-0.03539797145777268,-0.03580490543331083,-0.017964092906171514,-0.03731309656702164,-0.03617843249590069,-0.0189573433009107,-0.047244448614111145,0.008399946205568165,0.46237419837675786,0.4809418207636841,0.5690303171277438,0.12579024623394774,1.75,0.049973389981063265,0.04166666666666674
108,2000-06-12,,-0.002903740455512227,0.00837055864417402,-0.009301852369774322,0.011904990321194964,0.005755285028991919,0.0,,0.021823174989732852,-0.004511268644152744,,0.012104301870515144,0.0007508975253156525,0.013288250766974041,0.013888595338340526,-0.00575432538137699,0.015431703254451534,0.01971644935375516,0.011401221425537234,,0.04476178656078966,0.021833358190126773,0.014959703768877342,0.01092863940062827,-0.024390443464003098,-0.02531624217577344,0.003321055429488684,0.0,0.0077257979525595655,0.004212145594815642,0.47359403843895104,0.5073226667191386,0.5913131951662528,-0.066550659132671,1.72,-0.013748465713203983,-0.017142857142857126
