,Date,A5G.IR,ABN.AS,ACA.PA,ALPHA.AT,BAMI.MI,BARC.L,BBVA,BCP.LS,BIRG.IR,BKT.MC,BMPS.MI,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBO.DE,ETE.AT,EUROB.AT,GLE.PA,INGA.AS,ISP.MI,JYSK.CO,KBC.BR,MB.MI,NDA-SE.ST,OTP.BD,PEO.WA,PKO.WA,RAW.DE,SAB.MC,SAN.MC,SEB-A.ST,SHB-A.ST,SWED-A.ST,SYDB.CO,TPEIR.AT,UCG.MI,UNI.MC,cor,cor_lw,eig,banks_index,spread,index,spread_ch
52,2000-03-20,0.08757869379105787,,,-0.002088292216712584,-0.04014592583195431,0.010645403603736225,0.017167359182363562,-0.0035779628312557765,,-0.016732768855013624,0.026316059865800767,-0.004705633558817479,-0.01960814399847477,,0.006054918374221119,,-0.030201624219288736,0.016286456066102684,,-0.0009288062807781827,-0.015648210803646867,-0.029482972445755484,-0.01113400926295982,0.002633614437862475,,0.00847466863227142,-0.02258063552494549,-0.0022421460728367926,,0.024208596128864057,,,0.0,-0.0008435375917371646,0.005291328489160252,-0.015000299796770089,-0.030043005673863643,0.0,0.0037017846868228066,-0.03140096958466687,,,,,0.04105008977772262,5.45,,0.042065009560229294
57,2000-03-27,-0.013292450756515639,,,0.0024845706115874666,0.004055246812479485,0.013964815829087707,0.004219323864005586,-0.0035715737654024027,,-0.005843797848046339,-0.008498693260400425,0.013173592845154403,0.0,,0.0034884407158366493,,-0.01820162114647028,0.009740323244164406,,0.01747282236685055,0.003548992310630217,-0.011318960745067441,-0.007747649252405453,-0.012561008589494271,,-0.042021044326210344,-0.02802714285697172,-0.002257258578081456,,0.003349823293857357,,,0.0,-0.009539751119936546,0.010752631556031567,0.0249999613844909,0.02173967726482129,-0.0036230952664382254,0.018382340016691368,-0.011933210748793721,,,,,0.02786368502438452,5.56,,0.020183486238531945
62,2000-04-03,0.010837253186606777,,,0.009753985413953448,-0.034055534654013675,0.06618540998416589,-0.004201595969863137,-0.0426289046062317,,-0.03625466564874802,-0.008875701648731193,0.015757221658015297,-0.011907002972767255,,0.0025315703935127054,,0.06893073067157696,-0.01851863797670128,,0.005661479691940086,-0.005002132832529371,0.06909771200615533,-0.0007064218542743861,0.024928245461113496,,0.055999993141143234,0.034198128586692356,-0.0065785111312800515,,0.05123665325683935,,,0.0,0.0017811986363887033,0.0,-0.02347421090194901,-0.004255987808794437,0.005107548850938892,0.01134302128954845,0.02884597644024356,,0.15194681042947547,0.03914694496801676,0.27182591727355637,0.010357297844640678,5.97,,0.07374100719424459
67,2000-04-10,-0.0013484124724433277,,,0.009391753907146638,0.0007913900085623204,0.04444424599146135,-0.028455222378376388,-0.007752253286901878,,-0.015969503063974377,-0.008498693260400425,0.014823545343869649,0.012190314251820933,,-0.006172718449637737,,-0.016645325330867045,-0.015673954611705287,,0.0053318317822641514,0.003818134376025073,0.014272958597322472,0.005237176546519562,-0.015464281212998254,,-0.02463039196376926,0.0034519163247661577,0.0063558460041597264,,0.0018349886189277242,,,0.0,0.018050665127118837,0.01570687442852292,-0.009090794201775165,-0.0042732808549544865,-0.004634647074254539,0.007216915191053053,0.011389889399748832,,0.15591220637368156,0.06454950867191747,0.18076323486151255,0.008618961715774587,5.99,,0.003350083752093891
72,2000-04-17,-0.026785872670920585,,,-0.0815945499473355,-0.04214570864652012,-0.04499705160109568,0.03070145758354892,0.0019532050620880703,,-0.049138096089682226,-0.00882364385150669,-0.039258627940710666,-0.019186917460580988,,-0.036905073738485616,,-0.04789602248678382,-0.012232471780878607,,-0.09332476073384643,-0.07983361785569454,-0.006640168256957679,-0.026853186381469163,-0.03474097037982493,,-0.016316877060754464,-0.0011533139783305169,0.018518379630702908,,-0.0019230963921694766,,,-0.0054640303371239485,-0.015044241600974506,-0.039603937256447286,-0.024030626012027323,-0.01593621166175352,-0.02016114242757061,-0.0858864387880427,-0.031026371134355246,,0.1636605456557243,0.06649809002955347,0.17835247160540413,-0.03384056325232798,6.17,,0.03005008347245397
77,2000-04-24,0.0,,,-0.002310661516293333,0.0,0.0,-0.004366860356059266,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.009781689994961429,-0.02131287918189062,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.021825340362341183,0.0,,0.159279995888459,0.06857803683481502,0.17927605779975986,0.0,6.05,,-0.01944894651539708
82,2000-05-01,0.0,,,-0.00020182553820413673,0.0,0.0,-0.03879249970945686,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,-0.0002020799371873494,-0.00020192517548278666,0.0,0.0014994551169345005,0.07897509041973283,,0.0,0.050000158169396514,0.0,,0.0,,,0.0,-0.0383612346263712,0.0,0.0,0.0,0.0076923884272019905,-0.0002015185208819048,0.1823902433126834,,0.15444447176719014,0.06343198920871354,0.3833528993272943,0.0,6.37,,0.05289256198347103
87,2000-05-08,-0.011817882518609046,,,0.025853661630190317,-0.02248062627137848,-0.028185989499303177,-0.014019072606934024,-0.0038537215817007198,,-0.009734541890447312,-0.0028985383508858265,0.0,-0.004977535727804794,,-0.010270678828880664,,0.0,0.0,,-0.0012899772868314452,0.02649921368125918,0.006407942710857206,-0.01473314760680855,-0.006623604697728491,,0.013953488868900576,-0.011037503120945535,-0.009259360268579764,,-0.023076931729853145,,,0.0,0.006277662263431516,-0.019138832466582434,-0.004098520156412877,0.0,0.02475253360734264,0.012800937583532734,-0.017698445477690283,,0.15505074162956464,0.05944452358373836,0.45385978455502796,0.03502585801598501,6.19,,-0.028257456828885363
92,2000-05-15,-0.0055095620756743235,,,0.04231294699702848,0.011199909592882307,-0.016508123077565884,0.014492559923156456,-0.0019493974890444354,,-0.003676227266225407,-0.008450450813715205,-0.0010405276218923287,0.0,,0.014351771129634372,,0.0007558495496462481,0.0,,0.03188410329091429,0.030837077773034016,0.004006273145838568,-0.002271957311651196,-0.022332511197225458,,0.00391337857898133,0.028603015725146452,0.018348486469141,,0.0037736236377701182,,,0.0,-0.009327769381773376,-0.023923366827622305,0.00826455907066559,-0.007633860213801302,-0.018518577162984107,0.050556150620880036,0.01552098453308659,,0.1594461722728228,0.05930092425522061,0.4702187219044907,0.00556438791732905,6.58,,0.06300484652665594
97,2000-05-22,-0.028571516303871114,,,-0.019111171010596673,-0.009046126628271423,0.030495445674386445,-0.03902412806806754,0.0038610995546504157,,-0.03529386724890382,-1.022833358357593,-0.014553009350287471,-0.04214571986836624,,-0.02726335721094353,,-0.007398241356425195,-0.012618198409040438,,-0.01748455790788017,-0.040731489256043196,0.0015154094733660362,0.005591236804681099,-0.014851632747973631,,-0.003982048662939275,-0.01839858603534128,-0.009008998052189243,,0.017857114878599756,,,0.0,-0.015594602030547966,-0.009756137310803714,0.003890883194280992,0.011278279204331998,0.0009269118788302055,-0.03403498217065337,-1.0186393680416972,,0.15721127274430025,0.04167707675295126,0.48145298303331985,-0.007199322416713727,6.92,,0.05167173252279622
102,2000-05-29,0.005530498220625013,,,0.012416385174311317,0.01165685647588166,0.0,0.0,0.0,,0.008131768640289527,0.029569968454634,0.02141355935992051,0.0026229552507532894,,0.040106925882174904,,0.0,0.0,,-0.007398215396999586,-0.015761842421540884,0.035146570316940684,0.020537101180468698,-0.011627910225868732,,0.01056409228706201,-0.0075184500892119255,0.0,,-0.009434059094425296,,,-0.016128935964996982,0.07191467287302133,-0.009999860187526632,0.0,0.022900574511826033,0.003759575646900881,-0.004833133794498123,-0.012526129015695053,,0.16013702047053874,0.04161153094861672,0.48715976418246204,0.012711502914830142,7.42,,0.07225433526011571
107,2000-06-05,0.0,,,-0.027861648024271934,-0.020920611703860947,0.014653455732017706,0.0042191491804028924,0.0018796541149515011,,-0.007547005698687159,0.0,0.017223867775847168,0.013152534105949298,,-0.015132317995017797,,-0.0038191581591939805,-0.00914647562437898,,-0.014765854730651506,-0.01997331388612622,0.04218718589598258,0.00853676437802875,0.0047734144387470145,,-0.006593511886915371,0.009944695412710036,-0.049586615079679874,,-0.015597978607889806,,,0.0,-0.001837977267356572,0.015228303814707633,0.008130176265434219,-0.007751916086980892,0.0,-0.007500026726836806,-0.00408151269138568,,0.16182003862399885,0.041567060999868684,0.4921868737990576,0.027968100640233473,7.12,,-0.040431266846361114
112,2000-06-12,-0.008241560061565956,,,0.0020937418210140724,0.02129469809818807,-0.005145975785465606,-0.0042552642177769995,0.0037175038493830748,,-0.005608271007846444,-0.01253162835318622,0.0,0.0,,-0.002035337626828837,,0.005223598339912039,0.0,,-0.012174783619046448,-0.002754940463670641,0.0,0.0,0.0023919850177200885,,0.0,-0.010893106460543533,0.0,,0.011925064148875286,,,0.0,-0.011299568981766983,0.0,0.0,0.0,0.0,-0.012735404556236007,-0.008281489424274202,,0.16750108763462013,0.04169268710003644,0.5222941711923217,-0.007238854895104785,6.97,,-0.021067415730337102
117,2000-06-19,0.0,,,0.012570382185986384,0.0,-0.028258399481670415,0.0,0.0,,0.0,-0.00246895614310616,0.007128298066353844,0.0,,0.03742392939736083,,0.008023310520188565,0.0,,0.5477026132993876,0.3124747545573643,-0.03464538462157185,-0.018656680177910112,0.002293164770623246,,0.0,-0.011578956366502635,0.0,,0.0,,,0.0,0.011926785769603487,0.0,0.0,0.0,0.0,0.0036980274782734135,0.008421129636967617,,0.16911920796076144,0.04168586954481811,0.48881433680016134,-0.013482651404672197,6.88,,-0.012912482065997155
