Date,granger
2001-03-19,0.0701219512195122
2001-03-26,0.06951219512195123
2001-04-02,0.07317073170731707
2001-04-09,0.06646341463414634
2001-04-16,0.0701219512195122
2001-04-23,0.061585365853658536
2001-04-30,0.06585365853658537
2001-05-07,0.06219512195121951
2001-05-14,0.06280487804878049
2001-05-21,0.061585365853658536
2001-05-28,0.061585365853658536
2001-06-04,0.06280487804878049
2001-06-11,0.060365853658536583
2001-06-18,0.05548780487804878
2001-06-25,0.05548780487804878
2001-07-02,0.05121951219512195
2001-07-09,0.04573170731707317
2001-07-16,0.041463414634146344
2001-07-23,0.043292682926829265
2001-07-30,0.04451219512195122
2001-08-06,0.04390243902439024
2001-08-13,0.048170731707317074
2001-08-20,0.04451219512195122
2001-08-27,0.04207317073170732
2001-09-03,0.04207317073170732
2001-09-10,0.043292682926829265
2001-09-17,0.04390243902439024
2001-09-24,0.08231707317073171
2001-10-01,0.0871951219512195
2001-10-08,0.08353658536585366
2001-10-15,0.07804878048780488
2001-10-22,0.07317073170731707
2001-10-29,0.07560975609756097
2001-11-05,0.075
2001-11-12,0.07134146341463414
2001-11-19,0.06890243902439025
2001-11-26,0.06646341463414634
2001-12-03,0.0701219512195122
2001-12-10,0.07073170731707316
2001-12-17,0.06890243902439025
2001-12-24,0.06524390243902439
2001-12-31,0.06524390243902439
2002-01-07,0.06463414634146342
2002-01-14,0.06341463414634146
2002-01-21,0.06463414634146342
2002-01-28,0.06524390243902439
2002-02-04,0.06646341463414634
2002-02-11,0.06707317073170732
2002-02-18,0.07134146341463414
2002-02-25,0.07195121951219512
2002-03-04,0.09146341463414634
2002-03-11,0.08536585365853659
2002-03-18,0.08597560975609755
2002-03-25,0.07865853658536585
2002-04-01,0.0774390243902439
2002-04-08,0.07560975609756097
2002-04-15,0.07682926829268293
2002-04-22,0.07439024390243902
2002-04-29,0.07560975609756097
2002-05-06,0.07439024390243902
2002-05-13,0.1048780487804878
2002-05-20,0.10304878048780487
2002-05-27,0.10365853658536585
2002-06-03,0.10121951219512196
2002-06-10,0.10426829268292682
2002-06-17,0.0975609756097561
2002-06-24,0.09939024390243903
2002-07-01,0.10060975609756098
2002-07-08,0.10121951219512196
2002-07-15,0.09878048780487805
2002-07-22,0.10609756097560975
2002-07-29,0.09878048780487805
2002-08-05,0.08841463414634146
2002-08-12,0.09634146341463415
2002-08-19,0.09207317073170732
2002-08-26,0.09024390243902439
2002-09-02,0.08902439024390243
2002-09-09,0.09207317073170732
2002-09-16,0.09268292682926829
2002-09-23,0.08475609756097562
2002-09-30,0.08658536585365853
2002-10-07,0.08414634146341464
2002-10-14,0.0798780487804878
2002-10-21,0.08048780487804878
2002-10-28,0.08475609756097562
2002-11-04,0.08170731707317073
2002-11-11,0.08048780487804878
2002-11-18,0.07804878048780488
2002-11-25,0.08963414634146341
2002-12-02,0.08048780487804878
2002-12-09,0.06219512195121951
2002-12-16,0.06646341463414634
2002-12-23,0.0676829268292683
2002-12-30,0.06951219512195123
2003-01-06,0.07134146341463414
2003-01-13,0.06524390243902439
2003-01-20,0.06463414634146342
2003-01-27,0.07256097560975609
2003-02-03,0.0701219512195122
2003-02-10,0.06707317073170732
2003-02-17,0.06890243902439025
2003-02-24,0.06524390243902439
2003-03-03,0.06341463414634146
2003-03-10,0.056707317073170734
2003-03-17,0.051829268292682924
2003-03-24,0.05731707317073171
2003-03-31,0.057926829268292686
2003-04-07,0.05548780487804878
2003-04-14,0.054878048780487805
2003-04-21,0.04878048780487805
2003-04-28,0.05
2003-05-05,0.05
2003-05-12,0.051829268292682924
2003-05-19,0.04939024390243903
2003-05-26,0.05365853658536585
2003-06-02,0.0524390243902439
2003-06-09,0.05
2003-06-16,0.05060975609756098
2003-06-23,0.05365853658536585
2003-06-30,0.054878048780487805
2003-07-07,0.04939024390243903
2003-07-14,0.04695121951219512
2003-07-21,0.046341463414634146
2003-07-28,0.0475609756097561
2003-08-04,0.0475609756097561
2003-08-11,0.04451219512195122
2003-08-18,0.04695121951219512
2003-08-25,0.043292682926829265
2003-09-01,0.05121951219512195
2003-09-08,0.05548780487804878
2003-09-15,0.05731707317073171
2003-09-22,0.06219512195121951
2003-09-29,0.06524390243902439
2003-10-06,0.06463414634146342
2003-10-13,0.060365853658536583
2003-10-20,0.06402439024390244
2003-10-27,0.07195121951219512
2003-11-03,0.07865853658536585
2003-11-10,0.07865853658536585
2003-11-17,0.0774390243902439
2003-11-24,0.08231707317073171
2003-12-01,0.08414634146341464
2003-12-08,0.06585365853658537
2003-12-15,0.05609756097560976
2003-12-22,0.06219512195121951
2003-12-29,0.0676829268292683
2004-01-05,0.061585365853658536
2004-01-12,0.06463414634146342
2004-01-19,0.06585365853658537
2004-01-26,0.06524390243902439
2004-02-02,0.06951219512195123
2004-02-09,0.05853658536585366
2004-02-16,0.07134146341463414
2004-02-23,0.06097560975609756
2004-03-01,0.06524390243902439
2004-03-08,0.06219512195121951
2004-03-15,0.05975609756097561
2004-03-22,0.061585365853658536
2004-03-29,0.06524390243902439
2004-04-05,0.061585365853658536
2004-04-12,0.06707317073170732
2004-04-19,0.05304878048780488
2004-04-26,0.05060975609756098
2004-05-03,0.0475609756097561
2004-05-10,0.05365853658536585
2004-05-17,0.057926829268292686
2004-05-24,0.05548780487804878
2004-05-31,0.05426829268292683
2004-06-07,0.048170731707317074
2004-06-14,0.057926829268292686
2004-06-21,0.061585365853658536
2004-06-28,0.05853658536585366
2004-07-05,0.06280487804878049
2004-07-12,0.06707317073170732
2004-07-19,0.06890243902439025
