Date,A5G.IR,ABN.AS,ACA.PA,ALPHA.AT,BAMI.MI,BARC.L,BBVA,BCP.LS,BIRG.IR,BKT.MC,BMPS.MI,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBO.DE,ETE.AT,EUROB.AT,GLE.PA,INGA.AS,ISP.MI,JYSK.CO,KBC.BR,MB.MI,NDA-SE.ST,OTP.BD,PEO.WA,PKO.WA,RAW.DE,SAB.MC,SAN.MC,SEB-A.ST,SHB-A.ST,SWED-A.ST,SYDB.CO,TPEIR.AT,UCG.MI,UNI.MC,^IRX,CL=F,IYR,ZN=F,IYK
2000-01-10,0.022831050228310446,,,0.005640531977118224,0.005132599822356143,0.013689816151665646,-0.0088888705132385,0.024118725468816216,,0.01599654034677589,-0.04113115267175638,0.005807214760128021,0.01978016325028653,,-0.002188836081620793,,-0.0257647258121958,0.01320133216510233,,-0.001289490174613328,-0.009523831577799013,-0.004587155603929971,0.001191926871467297,-0.015544110287282087,,0.05115352316573518,-0.013655390588579785,0.05263154094788236,,0.02229295745525195,,,-0.0054052286461898635,-0.008833887694162934,0.006024057093132695,0.050691189951228344,0.036437230938041854,0.0,-0.012769683805542553,0.0043955535389286204,,0.0019157527363558025,,,,
2000-01-17,-0.011818181818181839,,,0.00849174159018462,0.02067186540478283,-0.0464516253341406,0.0,0.0,,0.08790323931013244,-0.023809545789143183,-0.008187135662950484,0.0005297324379289758,,0.0054944307659665625,,0.026516142474600102,0.0,,0.00867608934871722,0.0022457572623277855,-0.010280341088268141,-0.007017556703562966,-0.029332015556430835,,-0.02199996948242189,-0.02555915824070243,-0.01473685209369946,,0.010186731045456199,,,-0.005434953690749311,-0.02653251676932522,0.005780309157075836,0.028571461076822402,-0.0038461680362995576,0.0033557175848972776,0.029612734841138577,-0.007075457534265417,,,,,,
2000-01-24,-0.037487335359675744,,,-0.012536476405097585,-0.017241351533271665,-0.0027798669711838198,0.005025075859059314,0.006944434618489703,,0.0014903269756103565,-0.01120447029334537,0.0024813762872324396,0.03399583954392593,,-0.016939731560743354,,-0.02314872021235237,0.006472530407001464,,-0.001341381107364148,0.005490939970137498,0.014091541860246748,-0.030937136678497845,-0.03561599236633084,,0.001956099888527296,-0.016741008564293947,-0.01606422660602913,,-0.032786885245901676,,,0.02808987240627525,0.011011034196744873,-0.005952430350596782,-0.009615395659885673,-0.03585655847916969,0.0,-0.0009398454215371332,-0.009852243825452689,,0.005660326771994351,,,,
2000-01-31,-0.00830737279335414,,,-0.019031287452558998,-0.03846147702690639,-0.008620765954389098,-0.019047580433962596,-0.012068929041801235,,-0.07079647732960448,0.011940286691876967,-0.019300351673805283,-0.05882352396885082,,-0.01826482536106866,,-0.019607837006884732,-0.01650164863353243,,-0.009386520026392065,-0.006892049921164656,0.0004866844513709001,-0.03352693246870486,-0.0207705941829589,,-0.03630656590462489,-0.027186695051894305,-0.004065057651465587,,-0.021666653951009085,,,0.0,0.0,-0.02499993047463578,-0.0048309234501306975,-0.0368852313387209,0.007272755015980126,-0.012339840937036106,0.022613019269491996,,0.010968998522502105,,,,
2000-02-07,-0.014444444444444482,,,0.04840657594813913,0.031674241816926685,0.021629462029299384,-0.009615364935486537,-0.005281742348416718,,-0.04504500830736913,-0.003002947618856555,-0.027534463548084975,-0.010103058325866332,,-0.023579204509937446,,-0.00844393254853859,-0.003355690900594399,,0.023285477927950105,0.0,-0.006480591387381107,0.002388452408974562,-0.05459745683270789,,-0.0047202268205703835,-0.021505402972870624,-0.008000033706631049,,-0.024793388429752095,,,0.0,0.03071017883375471,0.0,0.00985222834403432,0.004184115919978693,0.010638270529935934,-0.0013843590572366615,-0.0025907177399199233,,-0.00364298392719975,,,,
2000-02-14,0.008045977011494232,,,0.022484605970229055,-0.027678544239191694,-0.025832855560991574,0.09292034039943031,-0.0035524330088677614,,-0.043478224986988834,-0.01186942452602291,-0.005102013725071797,-0.05155041410896255,,0.016304333765925882,,-0.013410966911230338,-0.013288982449921383,,-0.006537802908139767,-0.005666649865630924,-0.0171371122205084,-0.011845925677742675,-0.0679347891512534,,0.018181818181818077,0.010362654513950575,0.029106050281679563,,-0.020000012715657545,,,0.0,0.04833826532627716,-0.011904772415020637,0.0,-0.01632651555331477,0.003521140239892029,0.0,-0.04250001126531999,,-0.0036496315432303916,,,,
2000-02-21,-0.030562347188264005,,,-0.015110134805687236,-0.00423736027738042,-0.04550965176072974,0.0,-0.009009097940715804,,0.009774429354524106,0.009146278539565733,-0.023980871651700153,0.0010647624509556586,,-0.02098603110564412,,0.057976391290661455,0.0,,-0.01882281835239985,-0.009488255457483663,-0.004901960373922654,-0.025145808156928795,-0.022285480005366787,,-0.025301186435193856,-0.027718614978800127,-0.02999997942327759,,-0.015025066827253353,,,-0.005464390071922787,0.01756004457198057,0.056250005793780256,0.02030453128311427,0.04741372798443311,0.0,-0.009515173446519753,0.02133331644687697,,,,,,
2000-02-28,0.009815950920245342,,,-0.027205501667439624,0.10214598347061843,-0.006280453004127717,-0.016460872773395918,0.001845036791717769,,-0.06566737312247883,-0.02366861461794534,-0.013365711213823017,-0.030927815992999874,,-0.01955737464262919,,-0.015344952283007252,0.0066666389922254154,,-0.021084328248363926,-0.019566716461505873,0.009309178287972841,0.018867958130651674,-0.011175058034839425,,-0.03518070083066638,-0.008928627307929204,0.0021552343094042303,,-0.0049999872843424775,,,0.010869207845990214,-0.005519818096281659,0.005747174446546044,-0.009756108931095797,0.0,-0.01754385964912286,-0.01437556942192919,-0.021739113533591148,,0.007117431079635805,,,,
2000-03-06,-0.006857142857142895,,,-0.018467581492027985,-0.05475140880535989,0.0026491585851913246,-0.02499994908494474,0.0,,-0.013513536099864387,0.03448277138748579,0.040556207068065175,-0.010522114949873651,,-0.019312239114160024,,-0.0010343708461623136,-0.0032680259832550407,,-0.0037570431097994073,-0.021580231117161452,0.00813401965732985,-0.010443334149397243,0.16585453636276593,,-0.0033696490913743826,0.03605504857011277,-0.019650683515987977,,-0.0234506115240789,,,0.0,-0.0036563329081947815,-0.021857942098814975,0.0,0.009174346085193186,0.008596520674856167,-0.026572141531146398,0.10126588788123358,,0.0035523944085211756,,,,
2000-03-13,0.0,,,0.0,-0.006896540613308688,-0.002016133687549493,-0.025531929740092774,0.0,,0.0,-0.02857140008584136,-0.01997643766693946,-0.021737020704376775,,-0.054607547863973815,,0.0,0.0,,0.0,0.331990424408404,-0.027499997651660224,-0.02031067906998274,-0.0595241930823428,,-0.025069679321047644,-0.021739049985404102,0.0,,0.0,,,0.0,-0.0008936121941679476,0.0,-0.035353515547581815,-0.035714253361115,-0.0036101219752859848,0.026182096646203856,-0.05134471026718623,,0.005281727238559464,,,,
